	FRAMES	TIME	FP1	FP1	FP1	FP2	FP2	FP2	FP3	FP3	FP3	FP1	FP1	FP1	FP2	FP2	FP2	FP3	FP3	FP3	FP1	FP2	FP3
	FRAME_NUMBERS	FRAME_NUMBERS	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	Z	Z	Z
19	19.00000	0.05000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
20	20.00000	0.05278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
21	21.00000	0.05556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
22	22.00000	0.05833	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
23	23.00000	0.06111	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
24	24.00000	0.06389	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
25	25.00000	0.06667	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
26	26.00000	0.06944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
27	27.00000	0.07222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
28	28.00000	0.07500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
29	29.00000	0.07778	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
30	30.00000	0.08056	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
31	31.00000	0.08333	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
32	32.00000	0.08611	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
33	33.00000	0.08889	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
34	34.00000	0.09167	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
